Timestamp,VSet,VMon,IMon,ChStatus
12_59_53,-0.0,-0.0529999993741512,0.0750000029802322,3
12_59_54,-0.5,-0.3350000083446502,0.0759999975562095,3
12_59_54,-1.0,-0.8989999890327454,0.0799999982118606,3
12_59_55,-1.5,-1.3589999675750732,0.0799999982118606,3
12_59_56,-2.0,-1.906000018119812,0.0419999994337558,3
12_59_57,-2.5,-2.4040000438690186,0.0419999994337558,3
12_59_58,-3.0,-2.9059998989105225,0.0299999993294477,3
12_59_58,-3.5,-3.401000022888184,0.0299999993294477,3
12_59_59,-4.0,-3.901999950408936,0.0240000002086162,3
13_00_00,-4.5,-4.39900016784668,0.0240000002086162,3
13_00_01,-5.0,-4.8979997634887695,0.0179999992251396,3
13_00_02,-5.5,-5.394000053405762,0.0219999998807907,3
13_00_02,-6.0,-5.89300012588501,0.0199999995529651,3
13_00_03,-6.5,-6.388999938964844,0.0199999995529651,3
13_00_04,-7.0,-6.888999938964844,0.0199999995529651,3
13_00_05,-7.5,-7.383999824523926,0.0199999995529651,3
13_00_06,-8.0,-7.883999824523926,0.0219999998807907,3
13_00_06,-8.5,-8.380000114440918,0.0230000000447034,3
13_00_07,-9.0,-8.878999710083008,0.0240000002086162,3
13_00_08,-9.5,-9.375,0.0240000002086162,3
13_00_09,-10.0,-9.87399959564209,0.0230000000447034,3
13_00_10,-10.5,-10.371000289916992,0.0230000000447034,3
13_00_10,-11.0,-10.869999885559082,0.0230000000447034,3
13_00_11,-11.5,-11.366999626159668,0.0219999998807907,3
13_00_12,-12.0,-11.866999626159668,0.0219999998807907,3
13_00_13,-12.5,-12.364999771118164,0.0219999998807907,3
13_00_14,-13.0,-12.864999771118164,0.0230000000447034,3
13_00_14,-13.5,-13.362000465393066,0.0219999998807907,3
13_00_15,-14.0,-13.861000061035156,0.0230000000447034,3
13_00_16,-14.5,-14.357999801635742,0.0240000002086162,3
13_00_17,-15.0,-14.857999801635742,0.025000000372529,3
13_00_18,-15.5,-15.354999542236328,0.0240000002086162,3
13_00_18,-16.0,-15.854999542236328,0.0260000005364418,3
13_00_19,-16.5,-16.35300064086914,0.0260000005364418,3
13_00_20,-17.0,-16.85300064086914,0.0240000002086162,3
13_00_21,-17.5,-17.35099983215332,0.0240000002086162,3
13_00_22,-18.0,-17.85300064086914,0.0260000005364418,3
13_00_22,-18.5,-18.349000930786133,0.0260000005364418,3
13_00_23,-19.0,-18.849000930786133,0.0230000000447034,3
13_00_24,-19.5,-19.347999572753903,0.0230000000447034,3
13_00_25,-20.0,-19.847000122070312,0.0240000002086162,3
13_00_26,-20.5,-20.347000122070312,0.0219999998807907,3
13_00_26,-21.0,-20.847000122070312,0.0230000000447034,3
13_00_27,-21.5,-21.34499931335449,0.0230000000447034,3
13_00_28,-22.0,-21.84499931335449,0.0240000002086162,3
13_00_29,-22.5,-22.343000411987305,0.0219999998807907,3
13_00_30,-23.0,-22.8439998626709,0.025000000372529,3
13_00_30,-23.5,-23.34199905395508,0.0260000005364418,3
13_00_31,-24.0,-23.843000411987305,0.0280000008642673,3
13_00_32,-24.5,-24.340999603271484,0.0260000005364418,3
13_00_33,-25.0,-24.839000701904297,0.025000000372529,3
13_00_34,-25.5,-25.33699989318848,0.0240000002086162,3
13_00_34,-26.0,-25.836000442504883,0.0260000005364418,3
13_00_35,-26.5,-26.334999084472656,0.0260000005364418,3
13_00_36,-27.0,-26.833999633789062,0.0270000007003545,3
13_00_37,-27.5,-27.33099937438965,0.0260000005364418,3
13_00_38,-28.0,-27.832000732421875,0.0270000007003545,3
13_00_38,-28.5,-28.32900047302246,0.0270000007003545,3
13_00_39,-29.0,-28.832000732421875,0.0280000008642673,3
13_00_40,-29.5,-29.327999114990234,0.0280000008642673,3
13_00_41,-30.0,-29.827999114990234,0.0260000005364418,3
13_00_42,-30.5,-30.327999114990234,0.0260000005364418,3
13_00_42,-31.0,-30.82900047302246,0.0260000005364418,3
13_00_43,-31.5,-31.32900047302246,0.025000000372529,3
13_00_44,-32.0,-31.83099937438965,0.0270000007003545,3
13_00_45,-32.5,-32.33000183105469,0.0260000005364418,3
13_00_46,-33.0,-32.83000183105469,0.0280000008642673,3
13_00_46,-33.5,-33.33000183105469,0.0270000007003545,3
13_00_47,-34.0,-33.83000183105469,0.0289999991655349,3
13_00_48,-34.5,-34.32600021362305,0.0270000007003545,3
13_00_49,-35.0,-34.82500076293945,0.0270000007003545,3
13_00_50,-35.5,-35.323001861572266,0.0270000007003545,3
13_00_50,-36.0,-35.821998596191406,0.0260000005364418,3
13_00_51,-36.5,-36.32400131225586,0.0260000005364418,3
13_00_52,-37.0,-36.82099914550781,0.0260000005364418,3
13_00_53,-37.5,-37.321998596191406,0.0270000007003545,3
13_00_54,-38.0,-37.81900024414063,0.0270000007003545,3
13_00_54,-38.5,-38.31900024414063,0.0270000007003545,3
13_00_55,-39.0,-38.81700134277344,0.0240000002086162,3
13_00_56,-39.5,-39.31900024414063,0.0260000005364418,3
13_00_57,-40.0,-39.81800079345703,0.025000000372529,3
13_00_58,-40.5,-40.31900024414063,0.0270000007003545,3
13_00_58,-41.0,-40.81700134277344,0.0260000005364418,3
13_00_59,-41.5,-41.31900024414063,0.0289999991655349,3
13_01_00,-42.0,-41.81800079345703,0.0270000007003545,3
13_01_01,-42.5,-42.31800079345703,0.0289999991655349,3
13_01_02,-43.0,-42.81600189208984,0.025000000372529,3
13_01_02,-43.5,-43.31800079345703,0.0270000007003545,3
13_01_03,-44.0,-43.81499862670898,0.0299999993294477,3
13_01_04,-44.5,-44.31499862670898,0.0299999993294477,3
13_01_05,-45.0,-44.81100082397461,0.0309999994933605,3
13_01_06,-45.5,-45.3120002746582,0.0309999994933605,3
13_01_06,-46.0,-45.810001373291016,0.0289999991655349,3
13_01_07,-46.5,-46.310001373291016,0.0309999994933605,3
13_01_08,-47.0,-46.8120002746582,0.0320000015199184,3
13_01_09,-47.5,-47.310001373291016,0.0320000015199184,3
13_01_10,-48.0,-47.81100082397461,0.032999999821186,3
13_01_10,-48.5,-48.30699920654297,0.032999999821186,3
13_01_11,-49.0,-48.810001373291016,0.0340000018477439,3
13_01_12,-49.5,-49.30699920654297,0.0359999984502792,3
13_01_13,-50.0,-49.810001373291016,0.032999999821186,3
13_01_14,-50.5,-50.30699920654297,0.0350000001490116,3
13_01_14,-51.0,-50.80799865722656,0.0359999984502792,3
13_01_15,-51.5,-51.305999755859375,0.0350000001490116,3
13_01_16,-52.0,-51.80799865722656,0.0350000001490116,3
13_01_17,-52.5,-52.30400085449219,0.0350000001490116,3
13_01_18,-53.0,-52.80400085449219,0.0350000001490116,3
13_01_18,-53.5,-53.30199813842773,0.0359999984502792,3
13_01_19,-54.0,-53.803001403808594,0.0350000001490116,3
13_01_20,-54.5,-54.305999755859375,0.032999999821186,3
13_01_21,-55.0,-54.80500030517578,0.0340000018477439,3
13_01_22,-55.5,-55.30400085449219,0.032999999821186,3
13_01_22,-56.0,-55.80199813842773,0.0309999994933605,3
13_01_23,-56.5,-56.303001403808594,0.0340000018477439,3
13_01_25,-57.0,-56.96500015258789,0.0560000017285347,3
13_01_26,-57.5,-57.305999755859375,0.0560000017285347,3
13_01_27,-58.0,-57.96699905395508,0.0350000001490116,3
13_01_28,-58.5,-58.305999755859375,0.0560000017285347,3
13_01_29,-59.0,-58.80199813842773,0.0340000018477439,3
13_01_30,-59.5,-59.303001403808594,0.0340000018477439,3
13_01_30,-60.0,-59.80199813842773,0.032999999821186,3
13_01_31,-60.5,-60.303001403808594,0.032999999821186,3
13_01_32,-61.0,-60.80799865722656,0.0340000018477439,3
13_01_33,-61.5,-61.30500030517578,0.0350000001490116,3
13_01_34,-62.0,-61.805999755859375,0.0320000015199184,3
13_01_34,-62.5,-62.30400085449219,0.0340000018477439,3
13_01_35,-63.0,-62.80500030517578,0.032999999821186,3
13_01_36,-63.5,-63.303001403808594,0.0350000001490116,3
13_01_37,-64.0,-63.803001403808594,0.0350000001490116,3
13_01_38,-64.5,-64.3030014038086,0.0350000001490116,3
13_01_38,-65.0,-64.8030014038086,0.0350000001490116,3
13_01_39,-65.5,-65.3010025024414,0.0359999984502792,3
13_01_40,-66.0,-65.8030014038086,0.0359999984502792,3
13_01_41,-66.5,-66.3010025024414,0.0350000001490116,3
13_01_42,-67.0,-66.8030014038086,0.0350000001490116,3
13_01_42,-67.5,-67.30899810791016,0.0350000001490116,3
13_01_43,-68.0,-67.80799865722656,0.0340000018477439,3
13_01_44,-68.5,-68.30899810791016,0.0370000004768371,3
13_01_45,-69.0,-68.80799865722656,0.0390000008046627,3
13_01_46,-69.5,-69.30999755859375,0.0379999987781047,3
13_01_46,-70.0,-69.80999755859375,0.0370000004768371,3
13_01_47,-70.5,-70.31099700927734,0.0370000004768371,3
13_01_48,-71.0,-70.80899810791016,0.0370000004768371,3
13_01_49,-71.5,-71.30999755859375,0.0370000004768371,3
13_01_50,-72.0,-71.81300354003906,0.0390000008046627,3
13_01_50,-72.5,-72.30999755859375,0.0379999987781047,3
13_01_51,-73.0,-72.80999755859375,0.0399999991059303,3
13_01_52,-73.5,-73.30699920654297,0.0399999991059303,3
13_01_53,-74.0,-73.80899810791016,0.0379999987781047,3
13_01_54,-74.5,-74.30500030517578,0.0379999987781047,3
13_01_54,-75.0,-74.80599975585938,0.0370000004768371,3
13_01_55,-75.5,-75.302001953125,0.0370000004768371,3
13_01_56,-76.0,-75.80500030517578,0.0370000004768371,3
13_01_57,-76.5,-76.30400085449219,0.0359999984502792,3
13_01_58,-77.0,-76.80599975585938,0.0390000008046627,3
13_01_58,-77.5,-77.30999755859375,0.0379999987781047,3
13_01_59,-78.0,-77.80799865722656,0.0390000008046627,3
13_02_00,-78.5,-78.30999755859375,0.0419999994337558,3
13_02_01,-79.0,-78.80899810791016,0.0390000008046627,3
13_02_02,-79.5,-79.30899810791016,0.0390000008046627,3
13_02_02,-80.0,-79.80699920654297,0.0390000008046627,3
13_02_03,-80.5,-80.30699920654297,0.0410000011324882,3
13_02_04,-81.0,-80.8030014038086,0.0399999991059303,3
13_02_05,-81.5,-81.30599975585938,0.0390000008046627,3
13_02_06,-82.0,-81.80799865722656,0.0390000008046627,3
13_02_06,-82.5,-82.30599975585938,0.0399999991059303,3
13_02_07,-83.0,-82.80799865722656,0.0410000011324882,3
13_02_08,-83.5,-83.30400085449219,0.0399999991059303,3
13_02_09,-84.0,-83.80500030517578,0.0419999994337558,3
13_02_10,-84.5,-84.3030014038086,0.0419999994337558,3
13_02_10,-85.0,-84.80400085449219,0.0410000011324882,3
13_02_11,-85.5,-85.3030014038086,0.0399999991059303,3
13_02_12,-86.0,-85.80799865722656,0.0390000008046627,3
13_02_13,-86.5,-86.31400299072266,0.0399999991059303,3
13_02_14,-87.0,-86.81300354003906,0.0399999991059303,3
13_02_14,-87.5,-87.31400299072266,0.0399999991059303,3
13_02_15,-88.0,-87.81300354003906,0.0399999991059303,3
13_02_16,-88.5,-88.31700134277344,0.0399999991059303,3
13_02_17,-89.0,-88.81500244140625,0.0390000008046627,3
13_02_18,-89.5,-89.31600189208984,0.0390000008046627,3
13_02_18,-90.0,-89.81999969482422,0.0379999987781047,3
13_02_19,-90.5,-90.31700134277344,0.0399999991059303,3
13_02_20,-91.0,-90.81800079345705,0.0399999991059303,3
13_02_21,-91.5,-91.31500244140624,0.0419999994337558,3
13_02_22,-92.0,-91.81300354003906,0.0399999991059303,3
13_02_22,-92.5,-92.31099700927734,0.0399999991059303,3
13_02_23,-93.0,-92.81199645996094,0.0410000011324882,3
13_02_24,-93.5,-93.30999755859376,0.0410000011324882,3
13_02_25,-94.0,-93.80799865722656,0.0399999991059303,3
13_02_26,-94.5,-94.31400299072266,0.0399999991059303,3
13_02_26,-95.0,-94.81300354003906,0.0370000004768371,3
13_02_27,-95.5,-95.31300354003906,0.0379999987781047,3
13_02_28,-96.0,-95.81199645996094,0.0390000008046627,3
13_02_29,-96.5,-96.31400299072266,0.0390000008046627,3
13_02_30,-97.0,-96.81199645996094,0.0399999991059303,3
13_02_30,-97.5,-97.31300354003906,0.0399999991059303,3
13_02_31,-98.0,-97.81800079345705,0.0399999991059303,3
13_02_32,-98.5,-98.31500244140624,0.0399999991059303,3
13_02_33,-99.0,-98.81600189208984,0.0439999997615814,3
13_02_34,-99.5,-99.31500244140624,0.0439999997615814,3
13_02_34,-100.0,-99.81500244140624,0.0390000008046627,3
13_02_35,-100.5,-100.31199645996094,0.0390000008046627,3
13_02_36,-101.0,-100.81400299072266,0.0399999991059303,3
13_02_37,-101.5,-101.31700134277344,0.0399999991059303,3
13_02_38,-102.0,-101.81500244140624,0.0399999991059303,3
13_02_38,-102.5,-102.31800079345705,0.0399999991059303,3
13_02_39,-103.0,-102.81400299072266,0.0410000011324882,3
13_02_40,-103.5,-103.31400299072266,0.0410000011324882,3
13_02_41,-104.0,-103.81400299072266,0.0370000004768371,3
13_02_42,-104.5,-104.31500244140624,0.0370000004768371,3
13_02_42,-105.0,-104.81999969482422,0.0379999987781047,3
13_02_43,-105.5,-105.31800079345705,0.0419999994337558,3
13_02_44,-106.0,-105.81900024414062,0.0410000011324882,3
13_02_45,-106.5,-106.31600189208984,0.0419999994337558,3
13_02_46,-107.0,-106.81800079345705,0.0390000008046627,3
13_02_46,-107.5,-107.31600189208984,0.0399999991059303,3
13_02_47,-108.0,-107.81700134277344,0.0399999991059303,3
13_02_48,-108.5,-108.31900024414062,0.0390000008046627,3
13_02_49,-109.0,-108.81400299072266,0.0379999987781047,3
13_02_50,-109.5,-109.31400299072266,0.0390000008046627,3
13_02_50,-110.0,-109.81300354003906,0.0390000008046627,3
13_02_51,-110.5,-110.31300354003906,0.0390000008046627,3
13_02_52,-111.0,-110.80799865722656,0.0379999987781047,3
13_02_53,-111.5,-111.31199645996094,0.0410000011324882,3
13_02_54,-112.0,-111.81400299072266,0.0390000008046627,3
13_02_54,-112.5,-112.31099700927734,0.0399999991059303,3
13_02_55,-113.0,-112.81300354003906,0.0390000008046627,3
13_02_56,-113.5,-113.31199645996094,0.0390000008046627,3
13_02_57,-114.0,-113.81600189208984,0.0390000008046627,3
13_02_58,-114.5,-114.31999969482422,0.0410000011324882,3
13_02_58,-115.0,-114.81900024414062,0.0410000011324882,3
13_02_59,-115.5,-115.3219985961914,0.0430000014603138,3
13_03_00,-116.0,-115.8219985961914,0.0419999994337558,3
13_03_01,-116.5,-116.3249969482422,0.0419999994337558,3
13_03_02,-117.0,-116.8209991455078,0.0410000011324882,3
13_03_02,-117.5,-117.3209991455078,0.0410000011324882,3
13_03_03,-118.0,-117.8249969482422,0.0399999991059303,3
13_03_04,-118.5,-118.3249969482422,0.0399999991059303,3
13_03_05,-119.0,-118.8249969482422,0.0419999994337558,3
13_03_06,-119.5,-119.3209991455078,0.0419999994337558,3
13_03_06,-120.0,-119.822998046875,0.0410000011324882,3
13_03_07,-120.5,-120.31999969482422,0.0410000011324882,3
13_03_08,-121.0,-120.8209991455078,0.0410000011324882,3
13_03_09,-121.5,-121.322998046875,0.0410000011324882,3
13_03_10,-122.0,-121.8239974975586,0.0399999991059303,3
13_03_10,-122.5,-122.3249969482422,0.0399999991059303,3
13_03_11,-123.0,-122.822998046875,0.0410000011324882,3
13_03_12,-123.5,-123.3249969482422,0.0410000011324882,3
13_03_13,-124.0,-123.83100128173828,0.0410000011324882,3
13_03_14,-124.5,-124.3280029296875,0.0410000011324882,3
13_03_14,-125.0,-124.83000183105467,0.0379999987781047,3
