Timestamp,VSet,VMon,IMon,ChStatus
12_50_14,-0.0,-0.0520000010728836,0.0780000016093254,3
12_50_15,-0.5,-0.5419999957084656,0.0790000036358833,3
12_50_16,-1.0,-0.8220000267028809,0.0549999997019767,3
12_50_17,-1.5,-1.412999987602234,0.0120000001043081,3
12_50_18,-2.0,-1.906999945640564,0.006000000052154,3
12_50_18,-2.5,-2.4049999713897705,0.0010000000474974,3
12_50_19,-3.0,-2.9059998989105225,0.0280000008642673,3
12_50_20,-3.5,-3.401000022888184,0.0120000001043081,3
12_50_21,-4.0,-3.901000022888184,0.0240000002086162,3
12_50_22,-4.5,-4.3979997634887695,0.0179999992251396,3
12_50_22,-5.0,-4.896999835968018,0.0209999997168779,3
12_50_23,-5.5,-5.394999980926514,0.0199999995529651,3
12_50_24,-6.0,-5.894000053405762,0.025000000372529,3
12_50_25,-6.5,-6.390999794006348,0.025000000372529,3
12_50_26,-7.0,-6.888999938964844,0.0240000002086162,3
12_50_26,-7.5,-7.385000228881836,0.0240000002086162,3
12_50_27,-8.0,-7.883999824523926,0.0240000002086162,3
12_50_28,-8.5,-8.380999565124512,0.0230000000447034,3
12_50_29,-9.0,-8.880000114440918,0.0240000002086162,3
12_50_30,-9.5,-9.375,0.0240000002086162,3
12_50_30,-10.0,-9.875,0.0209999997168779,3
12_50_31,-10.5,-10.371000289916992,0.0209999997168779,3
12_50_32,-11.0,-10.871999740600586,0.0240000002086162,3
12_50_33,-11.5,-11.366999626159668,0.0240000002086162,3
12_50_34,-12.0,-11.866999626159668,0.0240000002086162,3
12_50_34,-12.5,-12.36299991607666,0.0240000002086162,3
12_50_35,-13.0,-12.864999771118164,0.0209999997168779,3
12_50_36,-13.5,-13.359999656677246,0.0209999997168779,3
12_50_37,-14.0,-13.861000061035156,0.0230000000447034,3
12_50_38,-14.5,-14.359000205993652,0.0230000000447034,3
12_50_38,-15.0,-14.859000205993652,0.0230000000447034,3
12_50_39,-15.5,-15.354000091552734,0.0230000000447034,3
12_50_40,-16.0,-15.854999542236328,0.0230000000447034,3
12_50_41,-16.5,-16.35300064086914,0.0230000000447034,3
12_50_42,-17.0,-16.85300064086914,0.0230000000447034,3
12_50_42,-17.5,-17.35099983215332,0.0230000000447034,3
12_50_43,-18.0,-17.851999282836914,0.025000000372529,3
12_50_44,-18.5,-18.35099983215332,0.0230000000447034,3
12_50_45,-19.0,-18.850000381469727,0.0230000000447034,3
12_50_46,-19.5,-19.347999572753903,0.0209999997168779,3
12_50_46,-20.0,-19.847999572753903,0.0240000002086162,3
12_50_47,-20.5,-20.34499931335449,0.0219999998807907,3
12_50_48,-21.0,-20.847000122070312,0.0240000002086162,3
12_50_49,-21.5,-21.3439998626709,0.0240000002086162,3
12_50_50,-22.0,-21.84499931335449,0.0270000007003545,3
12_50_50,-22.5,-22.343000411987305,0.0240000002086162,3
12_50_51,-23.0,-22.84199905395508,0.0270000007003545,3
12_50_52,-23.5,-23.34199905395508,0.0260000005364418,3
12_50_53,-24.0,-23.84199905395508,0.0280000008642673,3
12_50_54,-24.5,-24.340999603271484,0.0270000007003545,3
12_50_54,-25.0,-24.84000015258789,0.0280000008642673,3
12_50_55,-25.5,-25.33699989318848,0.0280000008642673,3
12_50_56,-26.0,-25.83699989318848,0.0240000002086162,3
12_50_57,-26.5,-26.33300018310547,0.0240000002086162,3
12_50_58,-27.0,-26.83300018310547,0.0299999993294477,3
